App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Ríos de Fe,LIFESTYLE,5.0,141,15M,"1,000+",Free,0,Everyone,Lifestyle,"March 24, 2018",1.8,4.1 and up
"FD Calculator (EMI, SIP, RD & Loan Eligilibility)",FINANCE,5.0,104,2.3M,"1,000+",Free,0,Everyone,Finance,"August 7, 2018",2.1.0,4.1 and up
Oración CX,LIFESTYLE,5.0,103,3.8M,"5,000+",Free,0,Everyone,Lifestyle,"September 12, 2017",5.1.10,4.1 and up
Barisal University App-BU Face,FAMILY,5.0,100,10M,"1,000+",Free,0,Everyone,Education,"May 6, 2018",3.1.1,4.0.3 and up
Master E.K,FAMILY,5.0,90,Varies with device,"1,000+",Free,0,Everyone,Education,"August 11, 2017",1.5.0,4.4 and up
CL REPL,TOOLS,5.0,47,17M,"1,000+",Free,0,Everyone,Tools,"April 10, 2018",1.0.19,4.1 and up
AJ Cam,PHOTOGRAPHY,5.0,44,2.8M,100+,Free,0,Everyone,Photography,"January 23, 2018",1.0,4.1 and up
AI Today : Artificial Intelligence News & AI 101,NEWS_AND_MAGAZINES,5.0,43,2.3M,100+,Free,0,Everyone,News & Magazines,"June 22, 2018",1.0,4.4 and up
CS & IT Interview Questions,FAMILY,5.0,43,3.3M,"1,000+",Free,0,Everyone,Education,"March 27, 2018",1.1,4.2 and up
Ek Vote,PRODUCTIVITY,5.0,43,6.2M,500+,Free,0,Everyone,Productivity,"November 7, 2017",1.1,4.0.3 and up
